City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Rolla,US,2021-05-11 06:52:25,37.9514,-91.7713,41.0,87,1,0.98,clear sky
186,Evensk,RU,2021-05-11 06:54:08,61.95,159.2333,33.08,93,89,4.72,overcast clouds
187,Carballo,ES,2021-05-11 06:54:08,43.213,-8.691,51.01,90,54,4.94,broken clouds
188,Naryan-Mar,RU,2021-05-11 06:54:09,67.6713,53.087,46.4,73,100,17.34,overcast clouds
189,Talnakh,RU,2021-05-11 06:54:09,69.4865,88.3972,34.41,96,100,14.05,overcast clouds
190,Sampit,ID,2021-05-11 06:54:09,-2.5333,112.95,84.92,74,100,3.09,overcast clouds
191,Tiksi,RU,2021-05-11 06:54:10,71.6872,128.8694,28.65,86,100,13.06,overcast clouds
192,Brae,GB,2021-05-11 06:54:10,60.3964,-1.353,46.4,93,20,12.66,few clouds
193,Oistins,BB,2021-05-11 06:54:10,13.0667,-59.5333,78.26,75,22,19.39,few clouds
194,Arlit,NE,2021-05-11 06:54:11,18.7369,7.3853,92.95,9,93,7.52,overcast clouds
195,Kaitangata,NZ,2021-05-11 06:54:11,-46.2817,169.8464,48.0,77,100,8.01,overcast clouds
196,Maragogi,BR,2021-05-11 06:54:11,-9.0122,-35.2225,74.44,90,54,8.57,broken clouds
197,Palmerston,AU,2021-05-11 06:54:11,-12.486,130.9833,93.2,26,0,12.66,clear sky
198,Inirida,CO,2021-05-11 06:54:12,3.8653,-67.9239,70.77,98,51,2.66,broken clouds
199,Asau,RO,2021-05-11 06:54:12,46.4333,26.4,59.0,37,0,4.7,clear sky
200,Geraldton,AU,2021-05-11 06:54:12,-28.7667,114.6,86.0,25,0,11.5,clear sky
201,Capao Bonito,BR,2021-05-11 06:54:13,-24.0058,-48.3494,53.96,96,7,1.92,clear sky
202,Kahului,US,2021-05-11 06:54:13,20.8947,-156.47,73.4,73,1,14.97,clear sky
203,Maniitsoq,GL,2021-05-11 06:54:13,65.4167,-52.9,33.12,80,100,8.21,overcast clouds
204,Richards Bay,ZA,2021-05-11 06:54:14,-28.783,32.0377,68.92,65,0,5.86,clear sky
205,Kabalo,CD,2021-05-11 06:54:14,-6.05,26.9167,73.96,76,54,5.21,broken clouds
206,Huangmei,CN,2021-05-11 06:54:14,30.1924,116.025,71.2,93,100,3.38,moderate rain
207,Sun Valley,US,2021-05-11 06:54:15,39.5963,-119.776,55.4,22,1,4.61,clear sky
208,Alugan,PH,2021-05-11 06:54:15,12.2188,125.4808,83.28,80,75,8.25,broken clouds
209,Ancud,CL,2021-05-11 06:54:15,-41.8697,-73.8203,35.6,100,0,3.44,clear sky
210,Havelock,US,2021-05-11 06:52:29,34.8791,-76.9013,62.01,92,100,3.0,overcast clouds
211,Lorengau,PG,2021-05-11 06:54:16,-2.0226,147.2712,81.16,75,95,0.83,overcast clouds
212,Truro,GB,2021-05-11 06:54:16,50.2653,-5.0544,48.2,87,20,10.36,few clouds
213,Yantal,RU,2021-05-11 06:54:16,56.8471,105.2542,47.73,73,100,9.4,light rain
214,Saint-Honore,CA,2021-05-11 06:54:16,48.5334,-71.0824,46.0,76,90,3.6,overcast clouds
215,Asfi,MA,2021-05-11 06:54:17,32.2994,-9.2372,60.66,73,0,15.52,clear sky
216,Alofi,NU,2021-05-11 06:50:27,-19.0595,-169.9187,77.0,73,75,18.41,broken clouds
217,Tuktoyaktuk,CA,2021-05-11 06:54:17,69.4541,-133.0374,13.5,94,22,9.95,few clouds
218,Aklavik,CA,2021-05-11 06:54:17,68.2191,-135.0107,35.6,69,100,8.05,overcast clouds
219,Mogadishu,SO,2021-05-11 06:54:18,2.0371,45.3438,82.04,79,100,19.22,light rain
220,Eydhafushi,MV,2021-05-11 06:54:18,5.1033,73.0708,82.58,81,100,12.71,light rain
221,Chulman,RU,2021-05-11 06:54:18,56.8479,124.9104,49.08,62,100,9.24,light rain
222,Caramay,PH,2021-05-11 06:54:19,10.1815,119.236,84.6,73,98,5.82,overcast clouds
223,Tocopilla,CL,2021-05-11 06:54:19,-22.092,-70.1979,66.15,73,68,7.02,broken clouds
224,Luanda,AO,2021-05-11 06:54:19,-8.8368,13.2343,78.8,89,75,5.75,broken clouds
225,Thompson,CA,2021-05-11 06:54:19,55.7435,-97.8558,41.0,52,40,5.75,scattered clouds
226,Adwa,ET,2021-05-11 06:54:20,14.1646,38.8955,75.47,32,15,1.83,few clouds
227,Saint George,US,2021-05-11 06:54:20,37.1041,-113.5841,69.8,18,1,10.36,clear sky
228,Fairbanks,US,2021-05-11 06:54:20,64.8378,-147.7164,57.2,38,40,4.61,light rain
229,Kashan,IR,2021-05-11 06:54:21,33.9831,51.4364,78.6,33,7,5.61,clear sky
230,Kaeo,NZ,2021-05-11 06:54:21,-35.1,173.7833,63.0,95,100,5.01,overcast clouds
231,Hofn,IS,2021-05-11 06:54:21,64.2539,-15.2082,32.95,54,1,9.4,clear sky
232,Khuzdar,PK,2021-05-11 06:54:22,27.7384,66.6434,89.76,14,100,4.81,overcast clouds
233,Sisimiut,GL,2021-05-11 06:54:22,66.9395,-53.6735,33.24,81,100,6.04,overcast clouds
234,Kremenchuk,UA,2021-05-11 06:54:22,49.0973,33.4197,54.86,72,100,13.82,overcast clouds
235,Polson,US,2021-05-11 06:54:22,47.6936,-114.1632,39.99,59,12,1.99,few clouds
236,Yerbogachen,RU,2021-05-11 06:54:23,61.2767,108.0108,38.7,53,100,11.27,overcast clouds
237,Lincoln,US,2021-05-11 06:51:39,40.8,-96.667,50.0,76,1,8.05,clear sky
238,Barranca,PE,2021-05-11 06:54:23,-10.75,-77.7667,63.48,89,22,5.73,few clouds
239,Lompoc,US,2021-05-11 06:54:24,34.6391,-120.4579,53.01,93,0,3.44,mist
240,Ekuvukeni,ZA,2021-05-11 06:54:24,-28.4675,30.1551,60.91,50,0,2.33,clear sky
241,Cockburn Town,TC,2021-05-11 06:54:24,21.4612,-71.1419,79.52,81,10,17.65,clear sky
242,Port-Cartier,CA,2021-05-11 06:54:24,50.0334,-66.8654,36.0,75,1,3.44,clear sky
243,Pisco,PE,2021-05-11 06:54:25,-13.7,-76.2167,64.4,88,90,2.3,mist
244,Chicama,PE,2021-05-11 06:54:25,-7.8447,-79.1469,65.19,84,100,3.38,overcast clouds
245,Kimbe,PG,2021-05-11 06:51:22,-5.5502,150.1429,81.81,82,94,1.32,light rain
246,Cervo,ES,2021-05-11 06:54:25,43.6702,-7.4101,50.0,83,32,3.0,light rain
247,Fukue,JP,2021-05-11 06:54:26,32.6881,128.8419,66.2,100,75,11.5,moderate rain
248,Sambava,MG,2021-05-11 06:54:26,-14.2667,50.1667,80.44,68,73,6.46,broken clouds
